3,4,16,18,36,37,,2
2,14,15,16,28,29,,8
6,9,11,13,19,23,,2
2,6,10,18,23,26,,5
6,20,26,33,34,35,,5
2,4,11,22,23,25,,8
7,13,28,33,35,38,,6
5,7,15,28,35,37,,6
1,20,22,23,29,38,,3
9,15,16,34,36,37,,5
6,13,16,29,33,36,,4
13,14,24,25,26,35,,3
8,11,22,26,34,36,,8
6,7,11,19,22,25,,6
2,5,11,15,23,24,,5
6,10,18,19,22,24,,8
3,14,21,25,32,36,,6
1,2,7,11,26,36,,5
1,5,16,22,31,36,,5
9,18,19,25,27,32,,6
3,8,9,10,17,28,,5
16,19,20,24,32,37,,4
24,25,26,33,36,37,,2
5,17,18,28,32,37,,3
1,4,6,14,20,35,,7
16,22,26,27,36,37,,2
1,3,10,20,30,31,,5
15,17,19,23,24,29,,7
2,6,13,14,23,38,,2
2,4,18,29,33,34,,3
3,5,7,16,21,22,,8
7,11,13,14,23,24,,7
10,12,18,21,24,35,,2
12,17,20,22,30,33,,4
3,13,22,26,33,38,,3
3,26,32,34,37,38,,3
4,7,10,11,18,28,,4
3,4,7,11,25,28,,1
3,8,19,21,22,30,,2
2,5,24,28,30,31,,8
3,7,18,27,34,38,,7
1,11,21,24,27,29,,7
4,9,10,24,34,36,,6
12,20,23,26,28,37,,7
5,13,19,23,24,31,,7
3,8,14,30,33,37,,3
3,4,15,16,18,25,,8
5,6,7,11,23,25,,6
7,14,19,21,22,35,,7
1,14,16,17,34,35,,6
11,22,27,28,36,37,,2
8,9,26,28,31,36,,7
7,13,24,25,36,38,,1
9,10,21,26,30,33,,6
1,6,8,10,36,38,,7
10,24,26,33,34,38,,4
7,10,11,20,29,30,,4
5,7,8,10,11,17,,2
2,5,8,18,28,32,,5
7,17,20,23,28,30,,5
5,12,15,19,20,38,,4
5,8,15,24,31,38,,3
7,26,27,29,32,34,,5
5,6,8,10,21,24,,6
3,5,11,20,22,34,,5
8,18,20,21,23,24,,1
12,20,27,28,29,36,,7
14,16,19,21,22,26,,3
2,10,26,31,33,37,,3
10,15,30,32,33,38,,7
6,10,11,13,34,35,,7
1,16,22,24,30,35,,2
6,10,13,15,19,30,,6
9,11,19,22,26,37,,3
20,25,26,32,36,37,,7
2,9,10,14,15,26,,4
2,3,18,33,36,37,,5
7,10,17,28,32,36,,3
1,6,14,17,26,38,,3
4,5,9,22,28,30,,4
8,11,16,22,28,35,,6
4,8,9,18,23,36,,4
1,5,12,27,34,38,,3
18,22,25,29,32,38,,6
5,10,24,28,33,38,,6
